-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.014,  0.115
-183.800, 80.199, 0.032,  0.148
-183.800, 80.198, 0.030,  0.181
-183.800, 80.197, 0.029,  0.214
-183.800, 80.195, 0.029,  0.247
-183.800, 80.194, 0.031,  0.280
-183.800, 80.193, 0.034,  0.313
-183.800, 80.192, 0.039,  0.346
-183.800, 80.190, 0.057,  0.379
-183.800, 80.185, 0.167,  0.412
-183.800, 80.178, 0.206,  0.445
-183.800, 80.168, 0.286,  0.478
-183.799, 80.156, 0.390,  0.511
-183.799, 80.140, 0.480,  0.544
-183.799, 80.124, 0.463,  0.577
-183.799, 80.107, 0.493,  0.610
-183.798, 80.090, 0.512,  0.643
-183.798, 80.072, 0.519,  0.676
-183.798, 80.054, 0.551,  0.709
-183.797, 80.034, 0.604,  0.742
-183.797, 80.013, 0.628,  0.775
-183.797, 79.992, 0.643,  0.808
-183.796, 79.969, 0.673,  0.841
-183.796, 79.945, 0.719,  0.874
-183.796, 79.921, 0.726,  0.907
-183.795, 79.894, 0.813,  0.940
-183.795, 79.867, 0.821,  0.973
-183.794, 79.840, 0.831,  1.006
-183.794, 79.813, 0.849,  1.039
-183.793, 79.785, 0.866,  1.072
-183.793, 79.756, 0.873,  1.105
-183.792, 79.727, 0.883,  1.138
-183.792, 79.698, 0.894,  1.171
-183.791, 79.668, 0.908,  1.204
-183.791, 79.638, 0.905,  1.237
-183.790, 79.608, 0.897,  1.270
-183.789, 79.579, 0.890,  1.303
-183.789, 79.550, 0.886,  1.336
-183.788, 79.520, 0.884,  1.369
-183.788, 79.491, 0.885,  1.402
-183.787, 79.462, 0.887,  1.435
-183.786, 79.432, 0.891,  1.468
-183.786, 79.402, 0.896,  1.501
-183.785, 79.372, 0.902,  1.534
-183.784, 79.342, 0.911,  1.567
-183.784, 79.311, 0.920,  1.600
-183.783, 79.280, 0.929,  1.633
-183.782, 79.249, 0.939,  1.666
-183.781, 79.218, 0.949,  1.699
-183.781, 79.186, 0.959,  1.732
